Index,DOI,PageRank Score,Number of Incoming Edges,Number of Outgoing Edges,Text,"How does the incorporation of domain-specific knowledge (e.g., neuroanatomy) into AI models improve the classification accuracy for Alzheimer's disease?",How does the integration of ensemble learning methods enhance the accuracy and reliability of Alzheimer's disease prediction models using brain imaging data?,How does the integration of multiple models enhance the accuracy and reliability of prediction results  for Alzheimer's disease classification?,"How does the use of multimodal data (e.g., combining MRI and PET scans) affect the performance and reliability of AI models in Alzheimer's disease diagnosis?",How does transfer learning from pre-trained models on large-scale image datasets impact the performance of Alzheimer's disease classification models?,What are the challenges and solutions in deploying AI models for real-time Alzheimer's disease diagnosis in clinical settings?,"What are the optimal hyperparameters for Alzheimer's disease classification using transfer learning models, and how do they affect model performance?",What are the optimal hyperparameters for the classification of Alzheimer's disease using transfer learning models?,What are the performance differences observed in the models before and after applying specific improvements  for Alzheimer's disease classification?,What is the most effective configuration or combination of layers that can be added to a model to enhance its performance for image classification problems  for Alzheimer's disease classification?,What performance improvements are observed in deep learning models for Alzheimer's disease classification after applying advanced preprocessing techniques and hyperparameter tuning?,"What role do different preprocessing techniques (e.g., data augmentation, normalization) play in enhancing the performance of deep learning models for Alzheimer's disease classification?",Which combination of convolutional neural network layers and configurations leads to the most significant improvement in the accuracy of Alzheimer's disease classification models?,Which model demonstrates the highest efficiency and accuracy in handling a large volume of brain images for Alzheimer's disease classification?,title,coverDate,abstract,authors,publicationName,citedby_count,scopus_link,authkeywords,copyright,subject_areas,pageRange,year,Bib Citation
2057,https://doi.org/10.1002/hbm.22531,3.92E-05,5,6,"Brain morphometry based classification from magnetic resonance (MR) acquisitions has been widely investigated in the diagnosis of Alzheimer's disease (AD) and its prodromal stage, i.e., mild cognitive impairment (MCI). In the literature, a morphometric representation of brain structures is obtained by spatial normalization of each image into a common space (i.e., a pre-defined atlas) via non-linear registration, thus the corresponding regions in different brains can be compared. However, representations generated from one single atlas may not be sufficient to reveal the underlying anatomical differences between the groups of disease-affected patients and normal controls (NC). In this article, we propose a different methodology, namely the multi-atlas based morphometry, which measures morphometric representations of the same image in different spaces of multiple atlases. Representations generated from different atlases can thus provide the complementary information to discriminate different groups, and also reduce the negative impacts from registration errors. Specifically, each studied subject is registered to multiple atlases, where adaptive regional features are extracted. Then, all features from different atlases are jointly selected by a correlation and relevance based scheme, followed by final classification with the support vector machine (SVM). We have evaluated the proposed method on 459 subjects (97 AD, 117 progressive-MCI (p-MCI), 117 stable-MCI (s-MCI), and 128 NC) from the Alzheimer's Disease Neuroimaging Initiative (ADNI) database, and achieved 91.64% for AD/NC classification and 72.41% for p-MCI/s-MCI classification. Our results clearly demonstrate that the proposed multi-atlas based method can significantly outperform the previous single-atlas based methods.",0.5440842,0.5638001,0.5904962,0.56943655,0.5267279,0.4098105,0.48443797,0.4847212,0.5177083,0.5340511,0.49827993,0.50144374,0.5105993,0.60348725,Multi-atlas based representations for Alzheimer's disease diagnosis,10/1/2014,,Rui Min; Guorong Wu; Jian Cheng; Qian Wang; Dinggang Shen,Human Brain Mapping,67,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84927578310&origin=inward,,,,5052-5070,2014,"@article{,
  author = {Rui Min; Guorong Wu; Jian Cheng; Qian Wang; Dinggang Shen},
  title = {Multi-atlas based representations for Alzheimer's disease diagnosis},
  journal = {Human Brain Mapping},
  year = {2014},
  doi = {10.1002/hbm.22531}
}  url = {https://doi.org/10.1002/hbm.22531}
}"
2321,https://doi.org/10.1109/tnb.2017.2707139,3.69E-05,5,10,"Brain network plays an important role in representing abnormalities in Alzheimers disease (AD) and mild cognitive impairment (MCI), which includes MCIc (MCI converted to AD) and MCInc (MCI not converted to AD). In our previous study, we proposed an AD classification approach based on individual hierarchical networks constructed with 3D texture features of brain images. However, we only used edge features of the networks without node features of the networks. In this paper, we propose a framework of the combination of multiple kernels to combine edge features and node features for AD classification. An evaluation of the proposed approach has been conducted with MRI images of 710 subjects (230 health controls (HC), 280 MCI (including 120 MCIc and 160 MCInc), and 200 AD) from the Alzheimer's disease neuroimaging initiative database by using ten-fold cross validation. Experimental results show that the proposed method is not only superior to the existing AD classification methods, but also efficient and promising for clinical applications for the diagnosis of AD via MRI images. Furthermore, the results also indicate that 3D texture could detect the subtle texture differences between tissues in AD, MCI, and HC, and texture features of MRI images might be related to the severity of AD cognitive impairment. These results suggest that 3D texture is a useful aid in AD diagnosis.",0.54166865,0.54116833,0.5829927,0.5410792,0.5289812,0.46360487,0.48033494,0.4705541,0.5305556,0.57954484,0.54539394,0.51974845,0.561152,0.58384526,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
470,https://doi.org/10.1002/ima.22554,0.000134957,20,13,Brain tumor image classification is one of the predominant tasks of brain image processing. The three-class brain tumor classification becomes a trivial task for researchers as each tumor exhibit distinct characteristics. Existing classification models use deep neural networks and suffer from high computational cost. We have proposed an eight-layer average-pooling convolutional neural network to address three-class brain tumor classification. The proposed model uses three convolution blocks along with a dense layer and a softmax layer. We have utilized N-adam optimizer with a sparse-categorical cross-entropy loss function to improve the learning rate. The proposed model has been evaluated using a dataset consists of 3064 brain tumor magnetic resonance images. The proposed model outperforms state-of-the-art models with 97.42% accuracy and takes lesser computation time than its competitive models.,0.41776013,0.43611223,0.4646238,0.3883994,0.45929688,0.39504397,0.4376263,0.44610637,0.4311758,0.53334206,0.4873496,0.43382484,0.5125573,0.5712367,Three-class classification of brain magnetic resonance images using average-pooling convolutional neural network,9/1/2021,,Jagadeesh Kakarla; Bala Venkateswarlu Isunuri; Krishna Sai Doppalapudi; Karthik Satya Raghuram Bylapudi,International Journal of Imaging Systems and Technology,27,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101470931&origin=inward,,,,1731-1740,2021,"@article{,
  author = {Jagadeesh Kakarla; Bala Venkateswarlu Isunuri; Krishna Sai Doppalapudi; Karthik Satya Raghuram Bylapudi},
  title = {Three-class classification of brain magnetic resonance images using average-pooling convolutional neural network},
  journal = {International Journal of Imaging Systems and Technology},
  year = {2021},
  doi = {10.1002/ima.22554}
}  url = {https://doi.org/10.1002/ima.22554}
}"
2852,https://doi.org/10.1016/j.neucom.2018.08.075,2.91E-05,1,0,"By mimicking the information expression ways in human's brain, deep neural network refers to a deeply structured framework with multiple processing layers that attempt to model high-level abstractions of the data. It is becoming a mainstream technology for pattern recognition, data mining and intelligent control at industrial scale. Previous work on constructing very deep networks, such as convolutional neural network and recurrent neural network, makes complex tasks such as image classification feasible. However, they are very limited when dealing with irregular data whose features are unstructured or even unknown. The traditional fully connected neural network is contrarily too shallow to extract high-level features. In this paper, we present a balance gate controlled deep network structure to deepen the fully connected neural network. It uses a new gating strategy to control information flow and increase network stability. Experimental results on both irregular regression and time-series forecasting demonstrate that the proposed network out-performs other ad-hoc models and is easier to train in a deeper form than the fully connected neural network.",0.30686042,0.29599136,0.3086215,0.2532549,0.25102058,0.2676219,0.22191486,0.21795014,0.23691529,0.34083694,0.35329783,0.3556035,0.38567552,0.30261207,Balance gate controlled deep neural network,12/3/2018,,Anji Liu; Yuanjun Laili,Neurocomputing,20,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054035767&origin=inward,,,,183-194,2018,"@article{,
  author = {Anji Liu; Yuanjun Laili},
  title = {Balance gate controlled deep neural network},
  journal = {Neurocomputing},
  year = {2018},
  doi = {10.1016/j.neucom.2018.08.075}
}  url = {https://doi.org/10.1016/j.neucom.2018.08.075}
}"
1811,https://doi.org/10.1016/j.neuroimage.2005.05.015,4.14E-05,1,0,"Capturing the dynamics of gray matter (GM) atrophy in relation to the conversion from mild cognitive impairment (MCI) to clinically probable Alzheimer's disease (AD) would be of considerable interest. In this prospective study we have used a novel longitudinal voxel-based method to map the progression of GM loss in MCI patients over time and compared converters to non-converters. Eighteen amnestic MCI patients were followed-up for a predefined fixed period of 18 months and conversion was judged according to NINCDS-ADRDA criteria for probable AD. Each patient underwent a high-resolution T1-weighted volume MRI scan both at entry in the study and 18 months later. We used an optimal VBM protocol to compare baseline imaging data of converters to those of non-converters. Moreover, to map GM loss from baseline to follow-up assessment, we used a modified voxel-based morphometry (VBM) procedure specially designed for longitudinal studies. At the end of the follow-up period, seven patients had converted to probable AD. Areas of lower baseline GM value in converters mainly included the hippocampus, parahippocampal cortex, and lingual and fusiform gyri. Regions of significant GM loss over the 18-month follow-up period common to both converters and non-converters included the temporal neocortex, parahippocampal cortex, orbitofrontal and inferior parietal areas, and the left thalamus. However, there was significantly greater GM loss in converters relative to non-converters in the hippocampal area, inferior and middle temporal gyrus, posterior cingulate, and precuneus. This accelerated atrophy may result from both neurofibrillary tangles accumulation and parallel pathological processes such as functional alteration in the posterior cingulate. The ability to longitudinally assess GM changes in MCI offers new perspectives to better understand the pathological processes underlying AD and to monitor the effects of treatment on brain structure. © 2005 Elsevier Inc. All rights reserved.",0.41668594,0.4355302,0.45068708,0.4500747,0.43547875,0.3817724,0.40547672,0.392293,0.4666006,0.42077747,0.4200611,0.39454454,0.44456616,0.474795,Using voxel-based morphometry to map the structural changes associated with rapid conversion in MCI: A longitudinal MRI study,10/1/2005,,G. Chételat; B. Landeau; F. Eustache; F. Mézenge; F. Viader; V. De La Sayette; B. Desgranges; J. C. Baron,NeuroImage,455,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=24944495484&origin=inward,,,,934-946,2005,"@article{,
  author = {G. Chételat; B. Landeau; F. Eustache; F. Mézenge; F. Viader; V. De La Sayette; B. Desgranges; J. C. Baron},
  title = {Using voxel-based morphometry to map the structural changes associated with rapid conversion in MCI: A longitudinal MRI study},
  journal = {NeuroImage},
  year = {2005},
  doi = {10.1016/j.neuroimage.2005.05.015}
}  url = {https://doi.org/10.1016/j.neuroimage.2005.05.015}
}"
1570,https://doi.org/10.1016/j.neurobiolaging.2010.04.025,4.73E-05,1,0,"Cerebrospinal fluid (CSF) and structural magnetic resonance imaging (MRI) show patterns of change in Alzheimer's disease (AD) that precede dementia. The Alzheimer's Disease Neuroimaging Initiative (ADNI) studied normal controls (NC), subjects with mild cognitive impairment (MCI), and subjects with AD to identify patterns of biomarkers to aid in early diagnosis and effective treatment of AD. Two hundred twenty-two NC underwent baseline MRI and clinical examination at baseline and at least one follow-up. One hundred twelve also provided CSF at baseline. Unsupervised clustering based on initial CSF and MRI measures was used to identify clusters of participants with similar profiles. Repeated measures regression modeling assessed the relationship of individual measures, and of cluster membership, to cognitive change over 3 years. Most individuals showed little cognitive change. Individual biomarkers had limited predictive value for cognitive decline, but membership in the cluster with the most extreme profile was associated with more rapid decline in ADAS-cog. Subtypes among NC based on multiple biomarkers may represent the earliest stages of subclinical cognitive decline and AD. © 2010 Elsevier Inc.",0.45509326,0.46879825,0.50074536,0.5117579,0.4377421,0.45582706,0.41054434,0.40069348,0.5073985,0.4654602,0.46362352,0.46746328,0.4789153,0.48514876,Subtypes based on cerebrospinal fluid and magnetic resonance imaging markers in normal elderly predict cognitive decline,1/1/2010,,J. Nettiksimmons; D. Harvey; J. Brewer; O. Carmichael; C. DeCarli; C. R. Jack; R. Petersen; L. M. Shaw; J. Q. Trojanowski; M. W. Weiner; L. Beckett,Neurobiology of Aging,55,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=77954035379&origin=inward,,,,1419-1428,2010,"@article{,
  author = {J. Nettiksimmons; D. Harvey; J. Brewer; O. Carmichael; C. DeCarli; C. R. Jack; R. Petersen; L. M. Shaw; J. Q. Trojanowski; M. W. Weiner; L. Beckett},
  title = {Subtypes based on cerebrospinal fluid and magnetic resonance imaging markers in normal elderly predict cognitive decline},
  journal = {Neurobiology of Aging},
  year = {2010},
  doi = {10.1016/j.neurobiolaging.2010.04.025}
}  url = {https://doi.org/10.1016/j.neurobiolaging.2010.04.025}
}"
1785,https://doi.org/10.1038/srep45269,4.28E-05,5,20,"Classification is one of the most important tasks in machine learning. Due to feature redundancy or outliers in samples, using all available data for training a classifier may be suboptimal. For example, the Alzheimer's disease (AD) is correlated with certain brain regions or single nucleotide polymorphisms (SNPs), and identification of relevant features is critical for computer-aided diagnosis. Many existing methods first select features from structural magnetic resonance imaging (MRI) or SNPs and then use those features to build the classifier. However, with the presence of many redundant features, the most discriminative features are difficult to be identified in a single step. Thus, we formulate a hierarchical feature and sample selection framework to gradually select informative features and discard ambiguous samples in multiple steps for improved classifier learning. To positively guide the data manifold preservation process, we utilize both labeled and unlabeled data during training, making our method semi-supervised. For validation, we conduct experiments on AD diagnosis by selecting mutually informative features from both MRI and SNP, and using the most discriminative samples for training. The superior classification results demonstrate the effectiveness of our approach, as compared with the rivals.",0.52767015,0.5243194,0.5684262,0.48448616,0.5233182,0.44895434,0.4983749,0.4972713,0.53106594,0.54252213,0.5245955,0.5166372,0.49506712,0.5573182,A Hierarchical Feature and Sample Selection Framework and Its Application for Alzheimer's Disease Diagnosis,3/30/2017,,Le An; Ehsan Adeli; Mingxia Liu; Jun Zhang; Seong Whan Lee; Dinggang Shen,Scientific Reports,26,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85016748973&origin=inward,,,,,2017,"@article{,
  author = {Le An; Ehsan Adeli; Mingxia Liu; Jun Zhang; Seong Whan Lee; Dinggang Shen},
  title = {A Hierarchical Feature and Sample Selection Framework and Its Application for Alzheimer's Disease Diagnosis},
  journal = {Scientific Reports},
  year = {2017},
  doi = {10.1038/srep45269}
}  url = {https://doi.org/10.1038/srep45269}
}"
1484,https://doi.org/10.1109/embc.2013.6610042,4.85E-05,1,1,"Classification of Alzheimer's disease (AD) and Mild Cognitive Impairment (MCI) from brain images using machine learning methods has become popular. Although the large majority of the existing techniques rely on a single classifier such as the Support Vector Machine (SVM), several ensemble methods such as Adaboost or Random Forests (RF) have also been explored. The ensemble methods combine the outputs of several classifiers and aim to increase performance by exploring the diversity of the base classifiers in terms of features or examples, which are usually randomly selected. In this paper we propose using a different kind of ensemble to address the three class problem of classifying AD, MCI and Control Normals (CN) from PET brain images. We propose the favourite class ensemble of classifiers where each base classifier in the ensemble uses a different feature subset which is optimized for a given class. Since different image features correspond to different sets of brain voxels, the proposed favourite class classifiers are able to take into account the fact that the spatial pattern of brain degeneration in AD changes in time as the disease progresses. We tested this approach on FDG-PET images from The Alzheimer's Disease Neuroimaging Initiative (ADNI) database using as base classifiers both Support Vector Machines (SVM) and Random Forests (RF). The ensembles systematically outperformed the corresponding single classifier with the best result (66.78%) being obtained by the SVM ensemble. © 2013 IEEE.",0.51075435,0.66189367,0.60085607,0.5656542,0.55684847,0.45188564,0.5078284,0.5154717,0.56869274,0.58991796,0.5542338,0.5166472,0.5424353,0.6229859,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
1343,https://doi.org/10.1109/tip.2018.2836321,5.50E-05,1,0,"Classification of plants based on a multi-organ approach is very challenging. Although additional data provide more information that might help to disambiguate between species, the variability in shape and appearance in plant organs also raises the degree of complexity of the problem. Despite promising solutions built using deep learning enable representative features to be learned for plant images, the existing approaches focus mainly on generic features for species classification, disregarding the features representing plant organs. In fact, plants are complex living organisms sustained by a number of organ systems. In our approach, we introduce a hybrid generic-organ convolutional neural network (HGO-CNN), which takes into account both organ and generic information, combining them using a new feature fusion scheme for species classification. Next, instead of using a CNN-based method to operate on one image with a single organ, we extend our approach. We propose a new framework for plant structural learning using the recurrent neural network-based method. This novel approach supports classification based on a varying number of plant views, capturing one or more organs of a plant, by optimizing the contextual dependencies between them. We also present the qualitative results of our proposed models based on feature visualization techniques and show that the outcomes of visualizations depict our hypothesis and expectation. Finally, we show that by leveraging and combining the aforementioned techniques, our best network outperforms the state of the art on the PlantClef2015 benchmark. The source code and models are available at https://github.com/cs-chan/Deep-Plant.",0.35668108,0.3567359,0.40731633,0.32857314,0.37900108,0.30631065,0.33095783,0.34451377,0.3430486,0.43301937,0.39418358,0.3557377,0.4321568,0.3996876,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2073,https://doi.org/10.1016/j.ejmp.2018.03.002,3.92E-05,5,6,"Clinical predictions performed using structural magnetic resonance (MR) images are crucial in neuroimaging studies and can be used as a successful complementary method for clinical decision making. Multivariate pattern analysis (MVPA) is a significant tool that helps correct predictions by exhibiting a compound relationship between disease-related features. In this study, the effectiveness of determining the most relevant features for MVPA of the brain MR images are examined using ReliefF and minimum Redundancy Maximum Relevance (mRMR) algorithms to predict the Alzheimer's disease (AD), schizophrenia, autism, and attention deficit and hyperactivity disorder (ADHD). Three state-of-the-art MVPA algorithms namely support vector machines (SVM), k-nearest neighbor (kNN) and backpropagation neural network (BP-NN) are employed to analyze the images from five different datasets that include 1390 subjects in total. Feature selection is performed on structural brain features such as volumes and thickness of anatomical structures and selected features are used to compare the effect of feature selection on different MVPA algorithms. Selecting the most relevant features for differentiating images of healthy controls from the diseased subjects using both ReliefF and mRMR methods significantly increased the performance. The most successful MVPA method was SVM for all classification tasks.",0.48567328,0.5715254,0.5664825,0.540708,0.4972673,0.40771878,0.46814492,0.4537483,0.49521405,0.51582175,0.50063556,0.49682927,0.49261686,0.56197774,The effect of feature selection on multivariate pattern analysis of structural brain MR images,3/1/2018,,Ayşe Demirhan,Physica Medica,20,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85046538071&origin=inward,,,,103-111,2018,"@article{,
  author = {Ayşe Demirhan},
  title = {The effect of feature selection on multivariate pattern analysis of structural brain MR images},
  journal = {Physica Medica},
  year = {2018},
  doi = {10.1016/j.ejmp.2018.03.002}
}  url = {https://doi.org/10.1016/j.ejmp.2018.03.002}
}"
1094,https://doi.org/10.1007/978-3-030-32251-9_14,6.50E-05,10,5,"Clinicians implicitly incorporate the complementarity of multi-modal data for disease diagnosis. Often a varied order of importance for this heterogeneous data is considered for personalized decisions. Current learning-based methods have achieved better performance with uniform attention to individual information, but a very few have focused on patient-specific attention learning schemes for each modality. Towards this, we introduce a model which not only improves the disease prediction but also focuses on learning patient-specific order of importance for multi-modal data elements. In order to achieve this, we take advantage of LSTM-based attention mechanism and graph convolutional networks (GCNs) to design our model. GCNs learn multi-modal but class-specific features from the entire population of patients, whereas the attention mechanism optimally fuses these multi-modal features into a final decision, separately for each patient. In this paper, we apply the proposed approach for disease prediction task for Parkinson’s and Alzheimer’s using two public medical datasets.",0.48057625,0.55837387,0.58810455,0.57423395,0.5045289,0.46047452,0.4579275,0.4534249,0.4834808,0.5130597,0.5247596,0.51044005,0.52739114,0.4820359,Graph convolution based attention model for personalized disease prediction,1/1/2019,,Anees Kazi; Shayan Shekarforoush; S. Arvind Krishna; Hendrik Burwinkel; Gerome Vivar; Benedict Wiestler; Karsten Kortüm; Seyed Ahmad Ahmadi; Shadi Albarqouni; Nassir Navab,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),27,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075648845&origin=inward,,,,122-130,2019,"@article{,
  author = {Anees Kazi; Shayan Shekarforoush; S. Arvind Krishna; Hendrik Burwinkel; Gerome Vivar; Benedict Wiestler; Karsten Kortüm; Seyed Ahmad Ahmadi; Shadi Albarqouni; Nassir Navab},
  title = {Graph convolution based attention model for personalized disease prediction},
  journal = {Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)},
  year = {2019},
  doi = {10.1007/978-3-030-32251-9_14}
}  url = {https://doi.org/10.1007/978-3-030-32251-9_14}
}"
1563,https://doi.org/10.1093/brain/awl051,4.73E-05,1,0,"Cognitive function requires a high level of functional interaction between regions of a network supporting cognition. Assuming that brain activation changes denote an advanced state of disease progression, changes in functional connectivity may precede changes in brain activation. The objective of this study was to investigate changes in functional connectivity of the right middle fusiform gyrus (FG) in subjects with mild cognitive impairment (MCI) during performance of a face-matching task. The right middle FG is a key area for processing face stimuli. Brain activity was measured using functional MRI. There were 16 MCI subjects and 19 age-matched healthy controls. The linear correlation coefficient was utilized as a measure of functional connectivity between the right middle FG and all other voxels in the brain. There were no statistical differences found in task performance or activation between groups. The right middle FG of the healthy control and MCI groups showed strong bilateral positive linear correlation with the visual cortex, inferior and superior parietal lobules, dorso-lateral prefrontal cortex (DLPFC) and anterior cingulate. The healthy controls showed higher positive linear correlation of the right middle FG to the visual cortex, parietal lobes and right DLPFC than the MCI group, whereas the latter had higher positive linear correlation in the left cuneus. In the healthy controls, the right middle FG had negative linear correlation with right medial frontal gyrus and superior temporal gyrus and with left inferior parietal lobule (IPL), angular gyrus, superior frontal gyrus and anterior cingulate gyrus, but the MCI group had negative linear correlation with the left IPL, angular gyrus, precuneus, anterior cingulate, and to right middle temporal gyrus and posterior cingulate gyrus. In the negatively linearly correlated regions, the MCI group had reduced functional connectivity to the frontal areas, right superior temporal gyrus and left IPL. Different regions of the cuneus and IPL had increased functional connectivity in either group. The putative presence of Alzheimer's disease neuropathology in MCI affects functional connectivity from the right middle FG to the visual areas and medial frontal areas. In addition, higher linear correlation in the MCI group in the parietal lobe may indicate the initial appearance of compensatory processes. The results demonstrate that functional connectivity can be an effective marker for the detection of changes in brain function in MCI subjects. © The Author (2006). Published by Oxford University Press on behalf of the Guarantors of Brain. All rights reserved.",0.40503561,0.39604852,0.4004347,0.44576463,0.3934186,0.3360845,0.36355624,0.3412765,0.43494958,0.40974763,0.4012308,0.3995853,0.42226663,0.42011198,Functional connectivity of the fusiform gyrus during a face-matching task in subjects with mild cognitive impairment,1/1/2006,,A. L.W. Bokde; P. Lopez-Bayo; T. Meindl; S. Pechler; C. Born; F. Faltraco; S. J. Teipel; H. J. Möller; H. Hampel,Brain,212,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33646246406&origin=inward,,,,1113-1124,2006,"@article{,
  author = {A. L.W. Bokde; P. Lopez-Bayo; T. Meindl; S. Pechler; C. Born; F. Faltraco; S. J. Teipel; H. J. Möller; H. Hampel},
  title = {Functional connectivity of the fusiform gyrus during a face-matching task in subjects with mild cognitive impairment},
  journal = {Brain},
  year = {2006},
  doi = {10.1093/brain/awl051}
}  url = {https://doi.org/10.1093/brain/awl051}
}"
594,https://doi.org/10.1007/s00521-020-05596-x,0.000103022,15,2,"Cognitive impairment must be diagnosed in Alzheimer’s disease as early as possible. Early diagnosis allows the person to receive effective treatment benefits apart from helping him or her to remain independent longer. In this paper, different feature selection techniques are utilized with different classifiers in the classification of this chronic disease as normal control (NC), mild cognitive impairment (MCI) and Alzheimer’s disease (AD) based on the MRI images of ADNI dataset. Dimensionality reduction plays a major role in improving classification performance when there are fewer records with high dimensions. After different trials to select the ample features, support vector machine (SVM) with radial basis function kernel is found to produce better results with 96.82%, 89.39% and 90.40% accuracy for binary classification of NC/AD, NC/MCI and MCI/AD, respectively, with repeated tenfold stratified cross-validation. Combining mini-mental state examination (MMSE) score to the MRI data, there has been an improvement of 2.7% in the MCI/AD classification, but it does not have much influence in the NC/AD and NC/MCI classification.",0.55465424,0.54050434,0.58644664,0.55267817,0.5664569,0.52420014,0.5308681,0.5250215,0.606923,0.5894539,0.59362787,0.5623816,0.5735156,0.6203285,Genetic algorithm with logistic regression feature selection for Alzheimer’s disease classification,7/1/2021,,R. Divya; R. Shantha Selva Kumari,Neural Computing and Applications,36,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85100221833&origin=inward,,,,8435-8444,2021,"@article{,
  author = {R. Divya; R. Shantha Selva Kumari},
  title = {Genetic algorithm with logistic regression feature selection for Alzheimer’s disease classification},
  journal = {Neural Computing and Applications},
  year = {2021},
  doi = {10.1007/s00521-020-05596-x}
}  url = {https://doi.org/10.1007/s00521-020-05596-x}
}"
619,https://doi.org/10.1257/jep.14.3.137,0.000102698,1,0,Collective action and the evolution of social norms,0.08646722,0.1343327,0.12495018,0.1048635,0.07576452,0.08584609,0.071444675,0.05528096,0.09505796,0.06413172,0.08262745,0.11382296,0.08022715,0.073125854,Collective action and the evolution of social norms,1/1/2000,,Elinor Ostrom,Journal of Economic Perspectives,2258,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0000769811&origin=inward,,,,137-158,2000,"@article{,
  author = {Elinor Ostrom},
  title = {Collective action and the evolution of social norms},
  journal = {Journal of Economic Perspectives},
  year = {2000},
  doi = {10.1257/jep.14.3.137}
}  url = {https://doi.org/10.1257/jep.14.3.137}
}"
777,https://doi.org/10.1016/j.nicl.2019.101929,9.02E-05,13,21,"Combining machine learning with neuroimaging data has a great potential for early diagnosis of mild cognitive impairment (MCI) and Alzheimer's disease (AD). However, it remains unclear how well the classifiers built on one population can predict MCI/AD diagnosis of other populations. This study aimed to employ a spectral graph convolutional neural network (graph-CNN), that incorporated cortical thickness and geometry, to identify MCI and AD based on 3089 T1-weighted MRI data of the ADNI-2 cohort, and to evaluate its feasibility to predict AD in the ADNI-1 cohort (n = 3602) and an Asian cohort (n = 347). For the ADNI-2 cohort, the graph-CNN showed classification accuracy of controls (CN) vs. AD at 85.8% and early MCI (EMCI) vs. AD at 79.2%, followed by CN vs. late MCI (LMCI) (69.3%), LMCI vs. AD (65.2%), EMCI vs. LMCI (60.9%), and CN vs. EMCI (51.8%). We demonstrated the robustness of the graph-CNN among the existing deep learning approaches, such as Euclidean-domain-based multilayer network and 1D CNN on cortical thickness, and 2D and 3D CNNs on T1-weighted MR images of the ADNI-2 cohort. The graph-CNN also achieved the prediction on the conversion of EMCI to AD at 75% and that of LMCI to AD at 92%. The find-tuned graph-CNN further provided a promising CN vs. AD classification accuracy of 89.4% on the ADNI-1 cohort and >90% on the Asian cohort. Our study demonstrated the feasibility to transfer AD/MCI classifiers learned from one population to the other. Notably, incorporating cortical geometry in CNN has the potential to improve classification performance.",0.54331434,0.55942696,0.5669292,0.5763096,0.59151465,0.5001197,0.53109837,0.5326591,0.5004293,0.5476558,0.5518576,0.5149067,0.58426255,0.55338097,Cortical graph neural network for AD and MCI diagnosis and transfer learning across populations,1/1/2019,,Chong Yaw Wee; Chaoqiang Liu; Annie Lee; Joann S. Poh; Hui Ji; Anqi Qiu,NeuroImage: Clinical,88,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85068578703&origin=inward,,,,,2019,"@article{,
  author = {Chong Yaw Wee; Chaoqiang Liu; Annie Lee; Joann S. Poh; Hui Ji; Anqi Qiu},
  title = {Cortical graph neural network for AD and MCI diagnosis and transfer learning across populations},
  journal = {NeuroImage: Clinical},
  year = {2019},
  doi = {10.1016/j.nicl.2019.101929}
}  url = {https://doi.org/10.1016/j.nicl.2019.101929}
}"
